u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,ref,bridge,junction,tunnel,geometry
8598558,8598529,0,2764559,secondary,2,,Euston Street,False,True,160.391214251574,,,,,"LINESTRING (-63.129688 46.23784, -63.131239 46.236876)"
8598558,8597714,0,28305405,primary,2,40,Euston Street,False,False,163.41330261524888,,,,,"LINESTRING (-63.129688 46.23784, -63.128107 46.238822)"
8598558,311073782,0,335211257,primary,3,40,University Avenue,False,True,52.325418224774396,,,,,"LINESTRING (-63.129688 46.23784, -63.129928 46.23828)"
8598558,8598271,0,393898873,primary,,40,Great George Street,False,False,120.4787661209278,,,,,"LINESTRING (-63.129688 46.23784, -63.128641 46.237034)"
8598664,8598671,0,4722925,residential,,,Great George Street,False,False,65.62011369088584,,,,,"LINESTRING (-63.125528 46.234658, -63.125474 46.234619, -63.125258 46.234463, -63.124971 46.234255, -63.124939 46.234232)"
8598664,311067077,0,431213342,residential,1,,Richmond Street,True,False,86.03575682881703,,,,,"LINESTRING (-63.125528 46.234658, -63.125431 46.234719, -63.125396 46.234742, -63.125204 46.234863, -63.1247 46.235179)"
8598671,8682417,0,2018723,residential,,,Sydney Street,True,False,157.22566984268602,,,,,"LINESTRING (-63.124939 46.234232, -63.125051 46.23416, -63.125494 46.23388, -63.125677 46.233764, -63.12635 46.233338, -63.126446 46.233277)"
8598671,11068547,0,4722925,residential,,,Great George Street,False,False,59.94964778482588,,,,,"LINESTRING (-63.124939 46.234232, -63.124886 46.23419, -63.124426 46.233825)"
8598671,8598664,0,4722925,residential,,,Great George Street,False,True,65.62011369088583,,,,,"LINESTRING (-63.124939 46.234232, -63.124971 46.234255, -63.125258 46.234463, -63.125474 46.234619, -63.125528 46.234658)"
8598672,2147094162,0,4722925,residential,,,Great George Street,False,False,49.707649236601455,,,,,"LINESTRING (-63.123338 46.232997, -63.12329 46.232964, -63.12288 46.232682)"
8598672,10295258,0,4722925,residential,,,Great George Street,False,True,63.46101587472777,,,,,"LINESTRING (-63.123338 46.232997, -63.123571 46.233181, -63.123838 46.23339, -63.123883 46.233426)"
8598672,8597675,0,393243508,tertiary,2,50,Water Street,False,False,159.5273940970947,,,,,"LINESTRING (-63.123338 46.232997, -63.122983 46.233222, -63.122329 46.233636, -63.121932 46.233887, -63.121808 46.233966)"
8598672,8682424,0,393243508,tertiary,2,50,Water Street,False,True,158.821281008206,,,,,"LINESTRING (-63.123338 46.232997, -63.123441 46.232931, -63.124745 46.232096, -63.124853 46.232027)"
8599086,2601546855,0,28305411,primary,,40,Grafton Street,False,False,86.70005666923805,,,,,"LINESTRING (-63.126536 46.235411, -63.126419 46.235488, -63.126412 46.235493, -63.126356 46.235529, -63.126144 46.235663, -63.12596 46.235778, -63.125716 46.235933, -63.125707 46.235939)"
8599086,311067078,0,"[69692648, 335210729, 390661754]",tertiary,2,,Grafton Street,False,True,154.64945836698985,,,,,"LINESTRING (-63.126536 46.235411, -63.126667 46.235328, -63.12729 46.234935, -63.127468 46.23483, -63.127934 46.234551, -63.12804 46.234488)"
